Last Name,First Name,Phone Number,City,State,Zip Code,Address,Apartment Number
Sosa,Domonic,512-204-9646,Austin,TX,78705,201 East 21st Street,#W0432
Pearson,Riley,281-244-9961,Austin,TX,78705,2624 Whitis Avenue,#175
Bush,Karla,214-448-4587,Austin,TX,78705,2605 Whitis Avenue,#414
Douglas,Anisha,281-254-9833,Austin,TX,78705,201 East 21st Street,#M0309
Mcintosh,Nada,512-236-2346,Austin,TX,78705,201 East 21st Street,#W1127
Navarro,Dillan,214-320-9458,Austin,TX,78705,2624 Whitis Avenue,#230
Arnold,Arnold,210-214-4555,Austin,TX,78705,305 East 21st Street,#131
Hendrix,Margaret,210-698-9839,Austin,TX,78705,309 East 21st Street,#225
Bell,Terri,512-279-4853,Austin,TX,78705,201 East 21st Street,#M1088
Klein,Noah,214-448-4587,Austin,TX,78705,2500 San Jacinto Blvd.,#181
Boyd,Junior,512-933-0986,Austin,TX,78705,309 East 21st Street,#440
Cooley,Ruthie,210-772-2236,Austin,TX,78705,2501 Whitis Avenue,#359
Elliot,Wilbur,650-854-7982,Austin,TX,78705,201 East 21st Street,#M1061
Dawson,Jane,212-919-3830,Austin,TX,78705,305 East 21st Street,#414
Potter,Joseph,281-797-6730,Austin,TX,78705,303 East 21st Street,#491
Waller,Ethan,303-312-6306,Austin,TX,78705,2624 Whitis Avenue,#304
Nunez,Fay,512-346-1994,Austin,TX,78705,201 East 21st Street,#M0192
Wolfe,Lauren,210-892-9518,Austin,TX,78705,309 East 21st Street,#323
Montes,Jordan,281-619-1738,Austin,TX,78705,201 East 21st Street,#W0432
Douglas,Karl,281-254-9834,Austin,TX,78705,201 East 21st Street,#M0310
