Last Name,First Name,Phone Number,City,State,Zip Code,Address,Apartment Number (if applicable)
Dickson,Sonny,972-584-3809,Austin,TX,78705,303 East 21st Street,#491
Arnold,Arnold,212-363-4399,Chicago,IL,60605,2400 Poplar Street,2743
Le,Lenny,210-978-9972,Brocton,MA,2401,3588  Hillcrest Avenue,
Bell,Terri,210-214-4555,Austin,TX,78705,305 East 21st Street,#131
Sellers,Estaban,33-655-5840-83,Seattle,WA,98109,1928 Union Street,
Douglas,Anisha,281-254-9833,Austin,TX,78705,201 East 21st Street,#M0309
Coleman,Lucy,650-321-1124,Fresno,CA,93737,57 Martha Street,
Mcintosh,Nada,512-236-2346,Austin,TX,78705,201 East 21st Street,#W1127
Hendrix,Margaret,210-214-4555,Austin,TX,78705,305 East 21st Street,#131
Blevins,Debra,281-453-3077,Austin,TX,78705,201 East 21st Street,#M0192
Sosa,Domonic,512-204-9646,Austin,TX,78705,201 East 21st Street,#W0432
Crawford,Claudia,212-329-8710,Austin,TX,78705,2323 San Antonio St,617
Bush,Karla,214-448-4587,Austin,TX,78705,2605 Whitis Avenue,#414
Dodson,Kaye,806-790-2888,Braddock,PA,15104,2393 Stiles Street,
Crawford,Claudia,979-490-5197,Austin,TX,78705,2323 San Antonio St,515
Pearson,Riley,281-244-9961,Austin,TX,78705,2624 Whitis Avenue,#175
Klein,Noah,214-448-4587,Austin,TX,78705,2500 San Jacinto Blvd.,#181
Riddle,Marla,979-647-9588,Oelrichs,SD,57763,2369 Massachusetts Avenue,
Arroyo,Chi,806-314-2036,Douglas City,CA,96024,809 Turkey Pen Road,102B
Navarro,Dillan,214-320-9458,Austin,TX,78705,2624 Whitis Avenue,#230
Douglas,Karl,281-254-9834,Austin,TX,78705,201 East 21st Street,#M0310
